	Reviewed by	Valid?	Terminology catalogue status	terminology name	acronym / shortname	access URL	domain	keywords	type of terminology	domain-specificity	main language	other language(s)	Variables	Units and dimensions	Terms for observable property	Terms for research object OoI 	terms for constraints	terms for matrix	terms for context	Supported by a model framework?	Terms for method description?	Terms for attribute values?	Properties related to nitrogen?	Alignment/connection to external concepts (selection)	could also align with?	Notes	Comments from meeting 18/08/2020	Further comments (author's name and date)
171	Barbara		0	The Extensible Observation Ontology	OBOE	https://github.com/NCEAS/oboe	All	ontology model framework	ontology	generic	EN		no	yes	yes	no	no	no	no	yes	yes							
	Barbara		1	WISE - Water Information System for Europe	wise	https://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/view	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	environmental chemistry		narrow	EN		no		no	yes				no	no	no	yes			Gwen (13/10/2020) - this terminology seems to be a collection of chemical substances		
215	Barbara		0	Linked Earth Ontology	LiPD	http://linked.earth/ontology/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f			generic	EN		yes							yes								
219	Barbara		0	TERN	TERN	https://linkeddata.tern.org.au/viewer/ausplots/id/http://linked.data.gov.au/def/ausplots-cv/8b217978-1aec-4e4a-ac9d-b08a47ebf0a4	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f				EN		yes							yes?								
229	Barbara		0	TDWG Darwin Core Terms	TDWG	https://dwc.tdwg.org/list/	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1 			narrow			no		yes	yes				no								
230	Barbara		0	AODN Discovery Parameter Vocabulary	AODN	https://vocabs.ands.org.au/viewById/22	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f						yes				yes	yes	yes	no								
242	Barbara		1	Socio-Ecological Research and Observation Ontology	SERONTO	http://ww3.umweltbundesamt.at/fileadmin/site/daten/Ontologien/SERONTO/SERONTOCore20090205.owl	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	biodiversity; socio-ecological research	ontology		EN				no	no				yes	no							
12			1	The Environment Ontology	ENVO	https://github.com/EnvironmentOntology/envo/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f		ontology	broad			yes			yes				yes								
N/A	Steve R.		0	OGC Definitions Service		http://www.opengis.net/def/def-type/	All		SKOS		EN									no						Top level entry to definitions registry, which is a hierarchy of  collections, leafs are skos vocabularies related to OGC standards process, as well as properties and entities in OGC models.		
	Steve R.		1	OGC Observation Types		http://www.opengis.net/def/observationType/	All	Observation types	SKOS		EN									no		yes				Collection of SKOS vocabularies: O&M Observation types, OMXML Observation types, Observations and Measurements XML definitions,  Observations and Measurements definitions		
	Steve R.		1	RDA data foundation terminology		https://smw-rda.esc.rzg.mpg.de/dft-2.0.html	All	Data and data management; metadata	html glossary		EN		no							no		yes				Reference data terminology that can be used across communities and stakeholders to synchronize conceptualization, to enable better understanding within and between communities and finally to stimulate tool building, such as for data services, supportive of the basic model’s use. We assume that this abstract data organization model will focus on common building blocks and their characteristics, along with relevant protocols. The Published Output can be cited this way: dx.doi.org/10.15497/06825049-8CA4-40BD-BCAF-DE9F0EA2FADF		
suggested (not from survey)	Maria	yes	1	Quantities, Units, Dimensions and dataTypes	QUDT Quantity Kinds	http://www.qudt.org/doc/2020/07/DOC_VOCAB-QUANTITY-KINDS-ALL-v2.1.html	All	quantity kinds; units; dimensions	terminology	generic	EN		no		yes	no	no	no		no	no	no		yes, aligned with dbpedia		Collection of "quantity kinds" which are connected to dimensions and units. Terms cover a broad range of domains, including electricity and magnetism and thermodynamics, but may not be comprehensive for any given topic.		
suggested (not from survey)	Maria	yes	1	Semantic Web for Earth and Environmental Terminology	SWEET	https://github.com/ESIPFed/sweet	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f		ontology		EN		no	yes	yes	yes	yes	yes		no	yes (see Representation Scientific Methodology sub-ontology)	yes?		yes, aligned with other ontologies		A taxonomic collection of terms categorized into generic top level categories such as role, property, phenomenon, material. Does not provide term definitions, but it seems there is ongoing work to link it to other ontologies.		
	Anne	yes	1	Plant Ontology	PO	http://www.obofoundry.org/ontology/po.html	botany  http://data.europa.eu/8mn/euroscivoc/93205ae1-235c-4259-a94d-ca9453a2ce17	biological traits; phenotypes	ontology	narrow	EN		no			yes	yes			no								
	Anne	yes	0	Xenopus Anatomy Ontology	YAO	http://www.obofoundry.org/ontology/xao.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no			yes	yes	yes		no								
	Anne	yes	0	zebrafish anatomy and development ontology	ZFA	http://www.obofoundry.org/ontology/zfa.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no			yes				no								
	Anne	yes	1	anatomical entity ontology	AEO	http://www.obofoundry.org/ontology/aeo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	broad	EN		no			yes				no								
	Anne	yes	0	The Amphioxus Development and Anatomy Ontology	AMPHX	http://www.obofoundry.org/ontology/amphx.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no			yes				no								
	Anne	yes	0	Ascomycete phenotype ontology	APO	http://www.obofoundry.org/ontology/apo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no		yes					no								
	Anne	yes	1	Cell Ontology	CL	http://www.obofoundry.org/ontology/cl.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	cell types	ontology	broad	EN		no			yes				no								
	Anne	yes	0	Clytia hemisphaerica Development and Anatomy Ontology	CLYH	http://www.obofoundry.org/ontology/clyh.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no			yes				no								
	Anne	yes	1	Phenotype and Trait Ontology	PATO	http://www.obofoundry.org/ontology/pato.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	broad	EN		no		yes					no								
	Anne	yes	0	Clinical measurement ontology	CMO	http://www.obofoundry.org/ontology/cmo.html		morphology; physiology	ontology	narrow	EN		yes		yes					no								
	Anne	yes	0	ctenophore ontology	CTENO	http://www.obofoundry.org/ontology/cteno.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no			yes				no								
	Anne	yes	0	Dictyostelium discoideum anatomy ontology	DDNAT	http://www.obofoundry.org/ontology/ddanat.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no			yes				no								
	Anne	yes	0	Drosophila Phenotype Ontology	DPO	http://www.obofoundry.org/ontology/dpo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no		yes					no								
	Anne	yes	0	The Echinoderm Anatomy and Development Ontology	ECAO	http://www.obofoundry.org/ontology/ecao.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	Mouse Developmental Anatomy Ontology	EMAPA	http://www.obofoundry.org/ontology/emapa.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	Fungal gross anatomy	FAO	http://www.obofoundry.org/ontology/fao.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	Drosophila gross anatomy	FBBT	http://www.obofoundry.org/ontology/fbbt.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	Drosophila development	FBDV	http://www.obofoundry.org/ontology/fbdv.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	Flora Phenotype Ontology	FLOPO	http://www.obofoundry.org/ontology/flopo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN		no		yes					no								
	Anne	yes	0	FuTRES Ontology of Vertebrate Traits	FOVT	http://www.obofoundry.org/ontology/fovt.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	broad?	EN				yes					no								
	Anne	yes	0	Fission yeast phenotype ontology	FYPO	http://www.obofoundry.org/ontology/fypo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN				yes					no								
	Anne	yes	0	Hymenoptera Anatomy Ontology	HAO	http://www.obofoundry.org/ontology/hao.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	Mouse Adult Gross Anatomy	MA	http://www.obofoundry.org/ontology/ma.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	biological traits; phenotypes	ontology	narrow	EN					yes				no								
	Anne	yes	0	Mammalian Feeding Muscle Ontology	MFMO	http://www.obofoundry.org/ontology/mfmo.html	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1	anatomy; muscles	ontology	narrow	EN					yes				no								
